keyratecbr_id,date,rate
1,2006-10-23,11
2,2007-01-29,10.5
3,2007-06-19,10
4,2008-02-04,10.25
5,2008-04-29,10.5
6,2008-06-10,10.75
7,2008-07-14,11
8,2008-11-12,12
9,2008-12-01,13
10,2009-04-24,12.5
11,2009-05-14,12
12,2009-06-05,11.5
13,2009-07-13,11
14,2009-08-10,10.75
15,2009-09-15,10.5
16,2009-09-30,10
17,2009-10-30,9.5
18,2009-11-25,9
19,2009-12-28,8.75
20,2010-02-24,8.5
21,2010-03-29,8.25
22,2010-04-30,8
23,2010-06-01,7.75
24,2011-02-28,8
25,2011-05-03,8.25
26,2011-12-26,8
27,2012-09-14,8.25
28,2016-01-01,11
29,2016-06-14,10.5
30,2016-09-19,10
31,2017-03-27,9.75
32,2017-05-02,9.25
33,2017-06-19,9
34,2017-09-18,8.5
35,2017-10-30,8.25
36,2017-12-18,7.75
37,2018-02-12,7.5
38,2018-03-26,7.25
39,2018-09-17,7.5
40,2018-12-17,7.75
41,2019-06-17,7.5
42,2019-07-29,7.25
43,2019-09-09,7
44,2019-10-28,6.5
45,2019-12-16,6.25
46,2020-02-10,6
47,2020-04-27,5.5
48,2020-06-22,4.5
49,2020-07-27,4.25
50,2021-03-22,4.5
51,2021-04-26,5
52,2021-06-15,5.5
53,2021-07-26,6.5
54,2021-09-13,6.75
55,2021-10-25,7.5
56,2021-12-20,8.5
57,2022-02-14,9.5
58,2022-02-28,20
59,2022-04-11,17
60,2022-05-04,14
61,2022-05-27,11
62,2022-06-14,9.5
63,2022-07-25,8
64,2022-09-19,7.5
65,2023-07-24,8.5
67,2023-08-15,12
